Method \ Size;100;1100;2100;3100;4100;
Bubble Sort Random nums 0-5;55108;6156337;23188585;51903081;95886422;
Bubble Sort Random nums 0-4000;49722;6767484;24630918;55993371;102046463;
Bubble Sort Reverse arr;58973;7611039;27230364;59242171;105563410;
Bubble Sort Almost sort arr;32537;3940615;14083363;32229155;56182481;
Counting Sort Random nums 0-5;4548;38277;68779;100139;136315;
Counting Sort Random nums 0-4000;66401;101164;133429;169930;260821;
Counting Sort Reverse arr;5898;56353;104840;151798;278405;
Counting Sort Almost sort arr;6020;59108;103084;164794;200469;
Heap Sort Random nums 0-5;34181;660518;1339691;2066905;2778335;
Heap Sort Random nums 0-4000;40595;771441;1707197;2728092;3653948;
Heap Sort Reverse arr;36020;709723;1471287;2295109;3083772;
Heap Sort Almost sort arr;61887;792578;1980109;3124251;4124798;
Insertion Sort Random nums 0-5;39589;2499653;12320879;22095978;29085799;
Insertion Sort Random nums 0-4000;20747;2537575;9269178;19716770;34273727;
Insertion Sort Reverse arr;38524;4684330;17838288;38383583;67423483;
Insertion Sort Almost sort arr;836;17701;27945;42326;76958;
Merge Sort Random nums 0-5;93049;704228;1209704;1767694;2458412;
Merge Sort Random nums 0-4000;43095;645767;1364650;2038240;2722581;
Merge Sort Reverse arr;37716;544677;1001590;1916379;2388451;
Merge Sort Almost sort arr;40037;561898;1106694;1516201;2239781;
Quick Sort Random nums 0-5;11943;246743;541412;818856;1084666;
Quick Sort Random nums 0-4000;11363;303848;632266;964768;1380110;
Quick Sort Reverse arr;7697;103090;215707;355032;443305;
Quick Sort Almost sort arr;6838;91731;181540;322155;376826;
Radix Sort Random nums 0-5;14404;140299;302793;396810;519103;
Radix Sort Random nums 0-4000;38700;366236;717190;1052862;1421470;
Radix Sort Reverse arr;37264;407193;694463;1054133;1358102;
Radix Sort Almost sort arr;28725;382021;698220;1049377;1398072;
Select Sort Random nums 0-5;38926;4350463;16005511;34321027;60264737;
Select Sort Random nums 0-4000;38261;4340386;15841336;34985014;59871085;
Select Sort Reverse arr;55671;4405293;15655882;33885547;59942955;
Select Sort Almost sort arr;37910;4354494;15999377;35316651;61309264;
